arxiv_id,updated_date,published_date,title,summary,authors,comment,categories,pages,figures,num_of_authors,title_length,year_of_publish,month_of_publish,date_of_publish
1902.08577v1,2019-02-20T14:57:22Z,2019-02-20T14:57:22Z,Could the Hilbert Space Be a Smaller Place? A Neural Network Perspective,"  In quantum many-body problems, one of the main difficulties comes from the
description of non-negligible interactions which require, at least in
principle, an exponential amount of information. Recently, in the context of
spin glasses and Boltzmann machines, it has been demonstrated that systematic
machine learning of the wave function can reduce these issues to a tractable
computational problem. In this work, we apply this approach to a different
situation, i.e. the problem of finding the ground state of a given quantum
system made of electrons, entirely described by its Hamiltonian operator, and
by utilizing feedforward neural networks. Although still in the shape of a
proof of concept, one can already observe that this seminal idea is able to
substantially simplify the complexity of this peculiar, and important, problem.
",['Jean Michel Sellier'],,"['physics.comp-ph', 'quant-ph']",,,1,12,2019,2,20
1902.07006v2,2019-02-20T08:00:21Z,2019-02-19T11:46:20Z,Constructing neural stationary states for open quantum many-body systems,"  We propose a new variational scheme based on the neural-network quantum
states to simulate the stationary states of open quantum many-body systems.
Using the high expressive power of the variational ansatz described by the
restricted Boltzmann machines, which we dub as the neural stationary state
ansatz, we compute the stationary states of quantum dynamics obeying the
Lindblad master equations. The mapping of the stationary-state search problem
into finding a zero-energy ground state of an appropriate Hermitian operator
allows us to apply the conventional variational Monte Carlo method for the
optimization. Our method is shown to simulate various spin systems efficiently,
i.e., the transverse-field Ising models in both one and two dimensions and the
XYZ model in one dimension.
","['Nobuyuki Yoshioka', 'Ryusuke Hamazaki']","8 pages, 6 figures","['cond-mat.dis-nn', 'cond-mat.stat-mech', 'quant-ph']",8.0,6.0,2,9,2019,2,19
1902.05131v1,2019-02-13T21:04:03Z,2019-02-13T21:04:03Z,Neural-Network Approach to Dissipative Quantum Many-Body Dynamics,"  In experimentally realistic situations, quantum systems are never perfectly
isolated and the coupling to their environment needs to be taken into account.
Often, the effect of the environment can be well approximated by a Markovian
master equation. However, solving this master equation for quantum many-body
systems, becomes exceedingly hard due to the high dimension of the Hilbert
space. Here we present an approach to the effective simulation of the dynamics
of open quantum many-body systems based on machine learning techniques. We
represent the mixed many-body quantum states with neural networks in the form
of restricted Boltzmann machines and derive a variational Monte-Carlo algorithm
for their time evolution and stationary states. We document the accuracy of the
approach with numerical examples for a dissipative spin lattice system.
","['Michael J. Hartmann', 'Giuseppe Carleo']",,"['quant-ph', 'cond-mat.dis-nn', 'cond-mat.other']",,,2,7,2019,2,13
1901.10847v2,2019-02-06T09:00:53Z,2019-01-30T14:27:59Z,Decoding surface code with a distributed neural network based decoder,"  There has been a rise in decoding quantum error correction codes with neural
network based decoders, due to the good decoding performance achieved and
adaptability to any noise model. However, the main challenge is scalability to
larger code distances due to an exponential increase of the error syndrome
space. Note that, successfully decoding the surface code under realistic noise
assumptions will limit the size of the code to less than 100 qubits with
current neural network based decoders.
  Such a problem can be tackled by a distributed way of decoding, similar to
the Renormalization Group (RG) decoders. In this paper, we introduce a decoding
algorithm that combines the concept of RG decoding and neural network based
decoders. We tested the decoding performance under depolarizing noise with
noiseless error syndrome measurements for the rotated surface code and compared
against the Blossom algorithm and a neural network based decoder. We show that
similar level of decoding performance can be achieved between all tested
decoders while providing a solution to the scalability issues of neural network
based decoders.
","['Savvas Varsamopoulos', 'Koen Bertels', 'Carmen G. Almudever']","10 pages, 14 figures",['quant-ph'],10.0,14.0,3,10,2019,1,30
1808.10601v2,2019-01-31T08:04:53Z,2018-08-31T05:32:42Z,"Quantum Neural Network States: A Brief Review of Methods and
  Applications","  One of the main challenges of quantum many-body physics is that the
dimensionality of the Hilbert space grows exponentially with the system size,
which makes it extremely difficult to solve the Schr\""{o}dinger equations of
the system. But typically, many physical systems have a simplified internal
structure which makes the parameters needed to characterize their ground states
exponentially smaller. This makes many numerical methods possible in capture
the physics of the system. Among these modern numerical techniques, neural
networks, which show great power in approximating functions and extracting
features of the big data, are now attracting many interests. Neural network
representation of quantum many-body states shows great potential in solving
some traditionally difficult quantum problems involving large number of
freedoms. In this work, we briefly review the progress of using the artificial
neural network to build quantum many-body ansatz states. We take Boltzmann
machine representation as a prototypical example to illustrate various aspects
of neural network representation of quantum many-body states. We first briefly
review the classical neural networks, then we illustrate how to use neural
networks to represent quantum states and density operators. Some physical
properties of the neural network states, including entanglement features,
representational power, and the relation with tensor network states, are
discussed. For applications, we briefly review the progress of many-body
calculating based on neural network states, neural network state approach to
tomography, and also the classical simulation of quantum computing based on
Boltzmann machine states. At the end of the work, some outlooks and open
problems are given.
","['Zhih-Ahn Jia', 'Biao Yi', 'Rui Zhai', 'Yu-Chun Wu', 'Guang-Can Guo', 'Guo-Ping Guo']",,"['quant-ph', 'physics.comp-ph']",,,6,11,2018,8,31
1901.10632v1,2019-01-30T01:25:36Z,2019-01-30T01:25:36Z,"Detecting quantum speedup by quantum walk with convolutional neural
  networks","  Quantum walks are at the heart of modern quantum technologies. They allow to
deal with quantum transport phenomena and are an advanced tool for constructing
novel quantum algorithms. Quantum walks on graphs are fundamentally different
from classical random walks analogs, in particular, they walk faster than
classical ones on certain graphs, enabling in these cases quantum algorithmic
applications and quantum-enhanced energy transfer. However, little is known
about the possible speedups on arbitrary graphs not having explicit symmetries.
For these graphs one would need to perform simulations of classical and quantum
walk dynamics to check if the speedup occurs, which could take a long
computational time. Here we present a new approach for the solution of the
quantum speedup problem, which is based on a machine learning algorithm that
detects the quantum advantage by just looking at a graph. The convolutional
neural network, which we designed specifically to learn from graphs, observes
simulated examples and learns complex features of graphs that lead to a quantum
speedup, allowing to identify graphs that exhibit quantum speedup without
performing any quantum walk or random walk simulations. Our findings pave the
way to an automated elaboration of novel large-scale quantum circuits utilizing
quantum walk based algorithms, and to simulating high-efficiency energy
transfer in biophotonics and material science.
","['Alexey A. Melnikov', 'Leonid E. Fedichkin', 'Alexander Alodjants']","10 pages, 5 figures","['quant-ph', 'cs.LG', 'stat.ML']",10.0,5.0,3,10,2019,1,30
1612.07593v3,2019-01-26T22:13:40Z,2016-12-22T13:35:13Z,"Quantum Learning with Noise and Decoherence: A Robust Quantum Neural
  Network","  Noise and decoherence are two major obstacles to the implementation of
large-scale quantum computing. Because of the no-cloning theorem, which says we
cannot make an exact copy of an arbitrary quantum state, simple redundancy will
not work in a quantum context, and unwanted interactions with the environment
can destroy coherence and thus the quantum nature of the computation. Because
of the parallel and distributed nature of classical neural networks, they have
long been successfully used to deal with incomplete or damaged data. In this
work, we show that our model of a quantum neural network (QNN) is similarly
robust to noise, and that, in addition, it is robust to decoherence. Moreover,
robustness to noise and decoherence is not only maintained but improved as the
size of the system is increased. Noise and decoherence may even be of advantage
in training, as it helps correct for overfitting. We demonstrate the robustness
using entanglement as a means for pattern storage in a qubit array. Our results
provide evidence that machine learning approaches can obviate otherwise
recalcitrant problems in quantum computing.
","['Nam H. Nguyen', 'Elizabeth C. Behrman', 'James E. Steck']","submitted for inclusion in Quantum Machine Learning, a book to be
  published by Cambridge",['quant-ph'],,,3,11,2016,12,22
1901.09133v1,2019-01-26T00:56:31Z,2019-01-26T00:56:31Z,VQNet: Library for a Quantum-Classical Hybrid Neural Network,"  Deep learning is a modern approach to realize artificial intelligence. Many
frameworks exist to implement the machine learning task; however, performance
is limited by computing resources. Using a quantum computer to accelerate
training is a promising approach. The variational quantum circuit (VQC) has
gained a great deal of attention because it can be run on near-term quantum
computers. In this paper, we establish a new framework that merges traditional
machine learning tasks with the VQC. Users can implement a trainable quantum
operation into a neural network. This framework enables the training of a
quantum-classical hybrid task and may lead to a new area of quantum machine
learning.
","['Zhao-Yun Chen', 'Cheng Xue', 'Si-Ming Chen', 'Guo-Ping Guo']","11 pages, 11 figures. Comments welcome",['quant-ph'],11.0,11.0,4,8,2019,1,26
1901.07535v2,2019-01-24T18:19:04Z,2019-01-21T11:42:04Z,"Neural Decoder for Topological Codes using Pseudo-Inverse of Parity
  Check Matrix","  Recent developments in the field of deep learning have motivated many
researchers to apply these methods to problems in quantum information. Torlai
and Melko first proposed a decoder for surface codes based on neural networks.
Since then, many other researchers have applied neural networks to study a
variety of problems in the context of decoding. An important development in
this regard was due to Varsamopoulos et al. who proposed a two-step decoder
using neural networks. Subsequent work of Maskara et al. used the same concept
for decoding for various noise models. We propose a similar two-step neural
decoder using inverse parity-check matrix for topological color codes. We show
that it outperforms the state-of-the-art performance of non-neural decoders for
independent Pauli errors noise model on a 2D hexagonal color code. Our final
decoder is independent of the noise model and achieves a threshold of $10 \%$.
Our result is comparable to the recent work on neural decoder for quantum error
correction by Maskara et al.. It appears that our decoder has significant
advantages with respect to training cost and complexity of the network for
higher lengths when compared to that of Maskara et al.. Our proposed method can
also be extended to arbitrary dimension and other stabilizer codes.
","['Chaitanya Chinni', 'Abhishek Kulkarni', 'Dheeraj M. Pai', 'Kaushik Mitra', 'Pradeep Kiran Sarvepalli']","12 pages, 12 figures, 2 tables, submitted to the 2019 IEEE
  International Symposium on Information Theory","['quant-ph', 'cs.IT', 'math.IT', 'stat.ML']",12.0,12.0,5,11,2019,1,21
1808.01374v2,2019-01-15T15:30:55Z,2018-08-03T21:57:45Z,Modelling Non-Markovian Quantum Processes with Recurrent Neural Networks,"  Quantum systems interacting with an unknown environment are notoriously
difficult to model, especially in presence of non-Markovian and
non-perturbative effects. Here we introduce a neural network based approach,
which has the mathematical simplicity of the
Gorini-Kossakowski-Sudarshan-Lindblad master equation, but is able to model
non-Markovian effects in different regimes. This is achieved by using recurrent
neural networks for defining Lindblad operators that can keep track of memory
effects. Building upon this framework, we also introduce a neural network
architecture that is able to reproduce the entire quantum evolution, given an
initial state. As an application we study how to train these models for quantum
process tomography, showing that recurrent neural networks are accurate over
different times and regimes.
","['Leonardo Banchi', 'Edward Grant', 'Andrea Rocchetto', 'Simone Severini']","10 pages, 8 figures",['quant-ph'],10.0,8.0,4,8,2018,8,3
